feature_a,feature_b,pearson_correlation,absolute_correlation
Sentence length std dev,Consecutive sentence gap,0.907534175087,0.907534175087
Sentences per paragraph,Words per paragraph,0.848966499581,0.848966499581
Sentence length std dev,Any sentence >34 words,0.500372686385,0.500372686385
Words per paragraph,Sentence length std dev,0.466463444959,0.466463444959
Consecutive sentence gap,Any sentence >34 words,0.449483229420,0.449483229420
Words per paragraph,Contains but,0.388671945983,0.388671945983
Right parenthesis present,; or : present,0.358917784917,0.358917784917
Sentences per paragraph,Sentence length std dev,0.358080397721,0.358080397721
Sentence length std dev,Contains but,0.339234275896,0.339234275896
Words per paragraph,Consecutive sentence gap,0.337794027656,0.337794027656
Sentences per paragraph,Contains but,0.332304794940,0.332304794940
Sentences per paragraph,Question mark present,0.317726251763,0.317726251763
Words per paragraph,Any sentence >34 words,0.299343681699,0.299343681699
; or : present,Contains numbers,0.278595931236,0.278595931236
Words per paragraph,Hyphen present,0.271350098654,0.271350098654
Apostrophe present,Contains but,0.267094220834,0.267094220834
Words per paragraph,Apostrophe present,0.262818959687,0.262818959687
Sentence length std dev,Any sentence <11 words,0.255596258615,0.255596258615
Apostrophe present,Sentence length std dev,0.253050292431,0.253050292431
Consecutive sentence gap,Contains but,0.252956750223,0.252956750223
Hyphen present,Sentence length std dev,0.252555502282,0.252555502282
Right parenthesis present,Contains numbers,0.251616670893,0.251616670893
Sentences per paragraph,Apostrophe present,0.247122796905,0.247122796905
Right parenthesis present,Any sentence >34 words,0.238913642105,0.238913642105
Any sentence >34 words,Contains but,0.238233855418,0.238233855418
Sentences per paragraph,Any sentence <11 words,0.237678207863,0.237678207863
Sentences per paragraph,Consecutive sentence gap,0.228883142891,0.228883142891
Words per paragraph,Question mark present,0.228553050972,0.228553050972
Hyphen present,Contains but,0.223430140065,0.223430140065
Sentences per paragraph,Hyphen present,0.218685322345,0.218685322345
Right parenthesis present,Sentence length std dev,0.216886000999,0.216886000999
Hyphen present,Any sentence >34 words,0.211258300935,0.211258300935
Question mark present,Contains but,0.209484240479,0.209484240479
Apostrophe present,Consecutive sentence gap,0.205740844802,0.205740844802
Hyphen present,Apostrophe present,0.203027844004,0.203027844004
Consecutive sentence gap,Any sentence <11 words,0.202831331035,0.202831331035
Sentence length std dev,Contains this,0.200546540719,0.200546540719
Sentence length std dev,Contains because,0.196122801501,0.196122801501
Question mark present,Sentence length std dev,0.194873589573,0.194873589573
Words per paragraph,Contains because,0.192378726368,0.192378726368
Words per paragraph,Contains this,0.192154153216,0.192154153216
Any sentence >34 words,Contains because,0.186620264883,0.186620264883
Sentences per paragraph,Contains this,0.180593234040,0.180593234040
