feature,Sentences per paragraph,Words per paragraph,Right parenthesis present,Hyphen present,; or : present,Question mark present,Apostrophe present,Sentence length std dev,Consecutive sentence gap,Any sentence <11 words,Any sentence >34 words,Contains although,Contains However,Contains but,Contains because,Contains this,Contains others/researchers,Contains numbers,Uppercase >= 2x periods,Contains et
Sentences per paragraph,1.000000000000,0.848966499581,0.053522111834,0.218685322345,0.013183562028,0.317726251763,0.247122796905,0.358080397721,0.228883142891,0.237678207863,0.090000468864,0.061588879187,0.074300730662,0.332304794940,0.135409502670,0.180593234040,0.091099575746,0.051960572825,-0.126837041481,0.080087864004
Words per paragraph,0.848966499581,1.000000000000,0.131830176497,0.271350098654,0.068394744513,0.228553050972,0.262818959687,0.466463444959,0.337794027656,0.010623604722,0.299343681699,0.098955703274,0.115281918871,0.388671945983,0.192378726368,0.192154153216,0.113669611519,0.094065327476,-0.069554237899,0.107078700330
Right parenthesis present,0.053522111834,0.131830176497,1.000000000000,0.147541281186,0.358917784917,-0.018053848814,0.039704485698,0.216886000999,0.165589061324,0.009177029866,0.238913642105,0.100781828597,0.109082725347,0.081782213194,0.106885276332,0.129999466979,0.048654866022,0.251616670893,0.029108507406,0.038815016022
Hyphen present,0.218685322345,0.271350098654,0.147541281186,1.000000000000,0.139556916280,0.146486442419,0.203027844004,0.252555502282,0.179581287555,0.011585874364,0.211258300935,0.040741052824,0.068135902114,0.223430140065,0.109404081373,0.126274096000,0.064623562214,0.148337392807,-0.014229272874,0.016916896712
; or : present,0.013183562028,0.068394744513,0.358917784917,0.139556916280,1.000000000000,-0.011020022605,-0.000365798589,0.141032616589,0.094170173859,0.037605338802,0.149355195884,0.059147126586,0.108632593213,0.022747120789,0.077320934979,0.113036586273,0.040986994915,0.278595931236,0.008811275457,0.034430389472
Question mark present,0.317726251763,0.228553050972,-0.018053848814,0.146486442419,-0.011020022605,1.000000000000,0.178428400009,0.194873589573,0.130292741281,0.155144793245,0.023329896895,0.001375312499,0.000083042477,0.209484240479,0.042876041328,0.069953592343,0.040100926157,-0.010129085593,0.137787879454,0.001149587500
Apostrophe present,0.247122796905,0.262818959687,0.039704485698,0.203027844004,-0.000365798589,0.178428400009,1.000000000000,0.253050292431,0.205740844802,-0.001348300548,0.155969272790,0.021365529841,0.028127270506,0.267094220834,0.105047733590,0.104086340739,0.044306021857,0.047192606930,-0.063625660626,0.000481544551
Sentence length std dev,0.358080397721,0.466463444959,0.216886000999,0.252555502282,0.141032616589,0.194873589573,0.253050292431,1.000000000000,0.907534175087,0.255596258615,0.500372686385,0.064158772253,0.070306994125,0.339234275896,0.196122801501,0.200546540719,0.087889383148,0.152466977943,-0.059562863854,0.027004312218
Consecutive sentence gap,0.228883142891,0.337794027656,0.165589061324,0.179581287555,0.094170173859,0.130292741281,0.205740844802,0.907534175087,1.000000000000,0.202831331035,0.449483229420,0.043715917197,0.043108664906,0.252956750223,0.143108718577,0.141722794995,0.057008926160,0.114889871620,-0.039858289614,0.017499715067
Any sentence <11 words,0.237678207863,0.010623604722,0.009177029866,0.011585874364,0.037605338802,0.155144793245,-0.001348300548,0.255596258615,0.202831331035,1.000000000000,-0.086145091229,0.003606857952,-0.002218189616,0.000238581297,-0.003088533044,0.058641812044,0.012433760084,0.007539753935,-0.082786893657,0.001612058842
Any sentence >34 words,0.090000468864,0.299343681699,0.238913642105,0.211258300935,0.149355195884,0.023329896895,0.155969272790,0.500372686385,0.449483229420,-0.086145091229,1.000000000000,0.067796857849,0.085903215906,0.238233855418,0.186620264883,0.150474306538,0.071307912820,0.152811446534,0.030872657193,0.026461753768
Contains although,0.061588879187,0.098955703274,0.100781828597,0.040741052824,0.059147126586,0.001375312499,0.021365529841,0.064158772253,0.043715917197,0.003606857952,0.067796857849,1.000000000000,0.048443093993,0.030479226691,0.037375108860,0.037968364265,0.024746156209,0.050708710098,0.009190998044,0.025037939454
Contains However,0.074300730662,0.115281918871,0.109082725347,0.068135902114,0.108632593213,0.000083042477,0.028127270506,0.070306994125,0.043108664906,-0.002218189616,0.085903215906,0.048443093993,1.000000000000,0.034039916031,0.057278282699,0.060703165591,0.040359731337,0.082320576675,0.006065925048,0.021875181856
