category,title,claim_label,metric_name,human_mean,ai_mean,difference_human_minus_ai,claim_mean,other_mean,ratio_claim_to_other,verdict
1,Sentences per paragraph,HUMAN,mean sentences/paragraph,2.2449280220061474,4.776140424251316,-2.5312124022451683,2.2449280220061474,4.776140424251316,0.4700297358526788,contradicted
2,Words per paragraph,HUMAN,mean words/paragraph,32.645736632776575,75.63192498349112,-42.98618835071454,32.645736632776575,75.63192498349112,0.43163963683196566,contradicted
3,Right parenthesis present,HUMAN,share of comments,0.12781491819726032,0.03772004219845686,0.09009487599880346,0.12781491819726032,0.03772004219845686,3.3885147191720075,supported
4,Hyphen present,HUMAN,share of comments,0.14010271285102663,0.33850816043687815,-0.19840544758585152,0.14010271285102663,0.33850816043687815,0.41388282241175595,contradicted
5,; or : present,HUMAN,share of comments,0.12270907627968888,0.027759965248329646,0.09494911103135924,0.12270907627968888,0.027759965248329646,4.420361307443367,supported
6,Question mark present,HUMAN,share of comments,0.21915386067210363,0.6576857042384626,-0.438531843566359,0.21915386067210363,0.6576857042384626,0.33321974198278026,contradicted
7,Apostrophe present,AI,share of comments,0.3774647607505786,0.7356390790807356,-0.35817431833015695,0.7356390790807356,0.3774647607505786,1.9488947196499533,supported
8,Sentence length std dev,HUMAN,mean std dev,4.298859165665891,6.8799224985167875,-2.5810633328508965,4.298859165665891,6.8799224985167875,0.6248412197365106,contradicted
9,Consecutive sentence gap,HUMAN,mean gap,6.46975908062352,9.260996215216837,-2.7912371345933167,6.46975908062352,9.260996215216837,0.6986029289152492,contradicted
10,Any sentence <11 words,HUMAN,share of comments,0.7026492763412768,0.7848809548435141,-0.08223167850223723,0.7026492763412768,0.7848809548435141,0.8952303811236798,contradicted
11,Any sentence >34 words,HUMAN,share of comments,0.12654342449016082,0.15412779513062905,-0.02758437064046823,0.12654342449016082,0.15412779513062905,0.8210292269665608,contradicted
12,Contains although,HUMAN,share of comments,0.00602966156413593,0.0028028876983224047,0.0032267738658135255,0.00602966156413593,0.0028028876983224047,2.1512319483027547,supported
13,Contains However,HUMAN,share of comments,0.010360687003943617,0.004757669155824007,0.005603017848119609,0.010360687003943617,0.004757669155824007,2.1776812688332448,supported
14,Contains but,HUMAN,share of comments,0.23467999086113897,0.5906749684545849,-0.3559949775934459,0.23467999086113897,0.5906749684545849,0.397308170134829,contradicted
15,Contains because,HUMAN,share of comments,0.11275566460380057,0.14331961193968104,-0.03056394733588047,0.11275566460380057,0.14331961193968104,0.7867427428651989,contradicted
16,Contains this,HUMAN,share of comments,0.26397401384736113,0.3228078522226589,-0.058833838375297765,0.26397401384736113,0.3228078522226589,0.8177434719440569,contradicted
17,Contains others/researchers,AI,share of comments,0.016976427698695725,0.03812340980079846,-0.021146982102102734,0.03812340980079846,0.016976427698695725,2.2456673734561616,supported
18,Contains numbers,HUMAN,share of comments,0.2382958010907032,0.13377324535092983,0.10452255573977337,0.2382958010907032,0.13377324535092983,1.7813412574807272,supported
19,Uppercase >= 2x periods,HUMAN,share of comments,0.574089342300013,0.5038371636017624,0.07025217869825051,0.574089342300013,0.5038371636017624,1.1394342930085612,supported
20,Contains et,HUMAN,share of comments,0.0005860791306161778,1.0342759034400017e-05,0.0005757363715817778,0.0005860791306161778,1.0342759034400017e-05,56.66564682275576,supported
